customer_id,risk_category,intervention_type,amount_due,amount_recovered,outstanding_after,recovery_status,communication_status,intervention_date_offset_days
CUSTOMER_0060,HIGH,Phone Call,17822,0,17822,Pending,Not Sent,-10
CUSTOMER_0061,LOW,No Intervention,4735,4735,0,Recovered,Not Sent,-10
CUSTOMER_0062,AT-RISK,Email Reminder,7379,7379,0,Recovered,Not Sent,-9
CUSTOMER_0063,LOW,No Intervention,7387,7387,0,Recovered,Not Sent,-6
CUSTOMER_0064,HIGH,Phone Call,4893,4893,0,Recovered,Not Sent,-1
CUSTOMER_0065,LOW,No Intervention,933,933,0,Recovered,Not Sent,-8
CUSTOMER_0066,AT-RISK,Email Reminder,12187,12187,0,Recovered,Not Sent,-3
CUSTOMER_0067,LOW,No Intervention,14221,14221,0,Recovered,Not Sent,-1
CUSTOMER_0068,CRITICAL,Manual Follow-up,4832,2144,2688,Partially Recovered,Not Sent,-9
CUSTOMER_0069,LOW,No Intervention,6709,6709,0,Recovered,Not Sent,-10
CUSTOMER_0070,LOW,No Intervention,2984,1526,1458,Partially Recovered,Not Sent,-9
CUSTOMER_0071,AT-RISK,Email Reminder,6910,6910,0,Recovered,Not Sent,-8
CUSTOMER_0072,LOW,No Intervention,7082,7082,0,Recovered,Not Sent,-6
CUSTOMER_0073,LOW,No Intervention,9573,9573,0,Recovered,Not Sent,-2
CUSTOMER_0074,LOW,No Intervention,19498,19498,0,Recovered,Not Sent,-6
CUSTOMER_0075,HIGH,Phone Call,1043,1043,0,Recovered,Not Sent,-7
CUSTOMER_0076,LOW,No Intervention,3226,3226,0,Recovered,Not Sent,-3
CUSTOMER_0077,AT-RISK,Email Reminder,5092,5092,0,Recovered,Not Sent,-10
CUSTOMER_0078,HIGH,Phone Call,6043,6043,0,Recovered,Not Sent,-10
CUSTOMER_0079,LOW,No Intervention,4505,4505,0,Recovered,Not Sent,-1
CUSTOMER_0080,LOW,No Intervention,22248,22248,0,Recovered,Not Sent,-8
CUSTOMER_0081,LOW,No Intervention,10039,10039,0,Recovered,Not Sent,-5
CUSTOMER_0082,LOW,No Intervention,11601,11601,0,Recovered,Not Sent,-1
CUSTOMER_0083,AT-RISK,Email Reminder,3698,3698,0,Recovered,Not Sent,-10
CUSTOMER_0084,LOW,No Intervention,5779,1853,3926,Partially Recovered,Not Sent,-9
CUSTOMER_0085,LOW,No Intervention,7240,7240,0,Recovered,Not Sent,-6
CUSTOMER_0086,LOW,No Intervention,9917,9917,0,Recovered,Not Sent,-3
CUSTOMER_0087,LOW,No Intervention,6051,6051,0,Recovered,Not Sent,-8
CUSTOMER_0088,LOW,No Intervention,12681,12681,0,Recovered,Not Sent,-7
CUSTOMER_0089,CRITICAL,Manual Follow-up,24157,10271,13886,Partially Recovered,Not Sent,-3
CUSTOMER_0090,LOW,No Intervention,5818,5818,0,Recovered,Not Sent,-10
CUSTOMER_0091,LOW,No Intervention,2601,2601,0,Recovered,Not Sent,-6
CUSTOMER_0092,LOW,No Intervention,6959,6959,0,Recovered,Not Sent,-9
CUSTOMER_0093,HIGH,Phone Call,5332,5332,0,Recovered,Not Sent,-10
CUSTOMER_0094,LOW,No Intervention,5842,5842,0,Recovered,Not Sent,-10
CUSTOMER_0095,LOW,No Intervention,14064,14064,0,Recovered,Not Sent,-9
CUSTOMER_0096,LOW,No Intervention,5427,5427,0,Recovered,Not Sent,-9
CUSTOMER_0097,HIGH,Phone Call,4296,0,4296,Not Recovered,Not Sent,-2
CUSTOMER_0098,AT-RISK,Email Reminder,13864,13864,0,Recovered,Not Sent,-6
CUSTOMER_0099,AT-RISK,Email Reminder,22041,22041,0,Recovered,Not Sent,-6
CUSTOMER_0100,LOW,No Intervention,7764,7764,0,Recovered,Not Sent,-8
CUSTOMER_0101,LOW,No Intervention,25688,25688,0,Recovered,Not Sent,-8
CUSTOMER_0102,HIGH,Phone Call,6015,0,6015,Not Recovered,Not Sent,-8
CUSTOMER_0103,LOW,No Intervention,4272,4272,0,Recovered,Not Sent,-3
CUSTOMER_0104,LOW,No Intervention,1393,1393,0,Recovered,Not Sent,-4
CUSTOMER_0105,LOW,No Intervention,4647,4647,0,Recovered,Not Sent,-10
CUSTOMER_0106,LOW,No Intervention,7924,7924,0,Recovered,Not Sent,-6
CUSTOMER_0107,LOW,No Intervention,1082,1082,0,Recovered,Not Sent,-8
CUSTOMER_0108,LOW,No Intervention,12599,12599,0,Recovered,Not Sent,-2
CUSTOMER_0109,AT-RISK,Email Reminder,7946,7946,0,Recovered,Not Sent,-3
CUSTOMER_0110,LOW,No Intervention,15667,15667,0,Recovered,Not Sent,-5
CUSTOMER_0111,LOW,No Intervention,25470,25470,0,Recovered,Not Sent,-1
CUSTOMER_0112,HIGH,Phone Call,47645,10473,37172,Partially Recovered,Not Sent,-4
CUSTOMER_0113,LOW,No Intervention,31111,31111,0,Recovered,Not Sent,-5
CUSTOMER_0114,AT-RISK,Email Reminder,9998,9998,0,Recovered,Not Sent,-1
CUSTOMER_0115,HIGH,Phone Call,5574,5574,0,Recovered,Not Sent,-6
CUSTOMER_0116,AT-RISK,Email Reminder,8658,8658,0,Recovered,Not Sent,-5
CUSTOMER_0117,LOW,No Intervention,8690,8690,0,Recovered,Not Sent,-10
CUSTOMER_0118,AT-RISK,Email Reminder,15076,15076,0,Recovered,Not Sent,-5
CUSTOMER_0119,HIGH,Phone Call,12845,12845,0,Recovered,Not Sent,-6
CUSTOMER_0120,LOW,No Intervention,18106,18106,0,Recovered,Not Sent,-3
CUSTOMER_0121,LOW,No Intervention,5033,5033,0,Recovered,Not Sent,-5
CUSTOMER_0122,CRITICAL,Manual Follow-up,10300,6052,4248,Partially Recovered,Not Sent,-8
CUSTOMER_0123,LOW,No Intervention,13147,13147,0,Recovered,Not Sent,-9
CUSTOMER_0124,LOW,No Intervention,2804,2804,0,Recovered,Not Sent,-6
CUSTOMER_0125,AT-RISK,Email Reminder,24999,24999,0,Recovered,Not Sent,-8
CUSTOMER_0126,HIGH,Phone Call,6390,6390,0,Recovered,Not Sent,-9
CUSTOMER_0127,LOW,No Intervention,19921,19921,0,Recovered,Not Sent,-10
CUSTOMER_0128,LOW,No Intervention,5903,5903,0,Recovered,Not Sent,-2
CUSTOMER_0129,LOW,No Intervention,11460,11460,0,Recovered,Not Sent,-8
CUSTOMER_0130,CRITICAL,Manual Follow-up,16534,0,16534,Not Recovered,Not Sent,-10
CUSTOMER_0131,LOW,No Intervention,5672,5672,0,Recovered,Not Sent,-9
CUSTOMER_0132,LOW,No Intervention,13091,13091,0,Recovered,Not Sent,-4
CUSTOMER_0133,CRITICAL,Manual Follow-up,3829,0,3829,Not Recovered,Not Sent,-7
CUSTOMER_0134,LOW,No Intervention,5412,5412,0,Recovered,Not Sent,-6
CUSTOMER_0135,LOW,No Intervention,9720,9720,0,Recovered,Not Sent,-2
CUSTOMER_0136,AT-RISK,Email Reminder,14959,7193,7766,Partially Recovered,Not Sent,-10
CUSTOMER_0137,AT-RISK,Email Reminder,11368,11368,0,Recovered,Not Sent,-8
CUSTOMER_0138,AT-RISK,Email Reminder,5445,5445,0,Recovered,Not Sent,-7
CUSTOMER_0139,CRITICAL,Manual Follow-up,6750,6750,0,Recovered,Not Sent,-5
CUSTOMER_0140,HIGH,Phone Call,14401,14401,0,Recovered,Not Sent,-4
CUSTOMER_0141,LOW,No Intervention,24399,24399,0,Recovered,Not Sent,-1
CUSTOMER_0142,LOW,No Intervention,3638,3638,0,Recovered,Not Sent,-8
CUSTOMER_0143,LOW,No Intervention,17697,17697,0,Recovered,Not Sent,-5
CUSTOMER_0144,LOW,No Intervention,3689,3689,0,Recovered,Not Sent,-7
CUSTOMER_0145,AT-RISK,Email Reminder,10050,10050,0,Recovered,Not Sent,-4
CUSTOMER_0146,LOW,No Intervention,14937,14937,0,Recovered,Not Sent,-6
CUSTOMER_0147,LOW,No Intervention,8216,8216,0,Recovered,Not Sent,-5
CUSTOMER_0148,LOW,No Intervention,13759,13759,0,Recovered,Not Sent,-3
CUSTOMER_0149,LOW,No Intervention,7296,7296,0,Recovered,Not Sent,-5
CUSTOMER_0150,AT-RISK,Email Reminder,6220,0,6220,Not Recovered,Not Sent,-1
CUSTOMER_0151,AT-RISK,Email Reminder,12350,12350,0,Recovered,Not Sent,-8
CUSTOMER_0152,LOW,No Intervention,7345,7345,0,Recovered,Not Sent,-7
CUSTOMER_0153,LOW,No Intervention,10842,10842,0,Recovered,Not Sent,-3
CUSTOMER_0154,LOW,No Intervention,2208,2208,0,Recovered,Not Sent,-10
CUSTOMER_0155,LOW,No Intervention,9792,9792,0,Recovered,Not Sent,-2
CUSTOMER_0156,HIGH,Phone Call,6551,6551,0,Recovered,Not Sent,-6
CUSTOMER_0157,LOW,No Intervention,21128,21128,0,Recovered,Not Sent,-9
CUSTOMER_0158,LOW,No Intervention,8332,8332,0,Recovered,Not Sent,-1
CUSTOMER_0159,LOW,No Intervention,7733,7733,0,Recovered,Not Sent,-9
CUSTOMER_0160,LOW,No Intervention,10647,10647,0,Recovered,Not Sent,-4
CUSTOMER_0161,LOW,No Intervention,9036,9036,0,Recovered,Not Sent,-10
CUSTOMER_0162,HIGH,Phone Call,5087,1618,3469,Partially Recovered,Not Sent,-9
CUSTOMER_0163,HIGH,Phone Call,4223,4223,0,Recovered,Not Sent,-10
CUSTOMER_0164,LOW,No Intervention,7839,7839,0,Recovered,Not Sent,-3
CUSTOMER_0165,HIGH,Phone Call,21618,0,21618,Not Recovered,Not Sent,-1
CUSTOMER_0166,LOW,No Intervention,6423,6423,0,Recovered,Not Sent,-4
CUSTOMER_0167,LOW,No Intervention,2391,2391,0,Recovered,Not Sent,-4
CUSTOMER_0168,CRITICAL,Manual Follow-up,7061,0,7061,Not Recovered,Not Sent,-7
CUSTOMER_0169,LOW,No Intervention,4284,4284,0,Recovered,Not Sent,-5
CUSTOMER_0170,LOW,No Intervention,1310,1310,0,Recovered,Not Sent,-6
CUSTOMER_0171,LOW,No Intervention,16716,16716,0,Recovered,Not Sent,-3
CUSTOMER_0172,LOW,No Intervention,5959,5959,0,Recovered,Not Sent,-2
CUSTOMER_0173,HIGH,Phone Call,7880,3050,4830,Partially Recovered,Not Sent,-3
CUSTOMER_0174,AT-RISK,Email Reminder,7061,7061,0,Recovered,Not Sent,-5
CUSTOMER_0175,AT-RISK,Email Reminder,8489,8489,0,Recovered,Not Sent,-7
CUSTOMER_0176,LOW,No Intervention,6362,6362,0,Recovered,Not Sent,-6
CUSTOMER_0177,LOW,No Intervention,14837,14837,0,Recovered,Not Sent,-2
CUSTOMER_0178,HIGH,Phone Call,10865,10865,0,Recovered,Not Sent,-10
CUSTOMER_0179,LOW,No Intervention,1326,1326,0,Recovered,Not Sent,-5
CUSTOMER_0180,LOW,No Intervention,5961,5961,0,Recovered,Not Sent,-5
CUSTOMER_0181,AT-RISK,Email Reminder,20193,20193,0,Recovered,Not Sent,-9
CUSTOMER_0182,AT-RISK,Email Reminder,15618,15618,0,Recovered,Not Sent,-5
CUSTOMER_0183,LOW,No Intervention,16344,16344,0,Recovered,Not Sent,-2
CUSTOMER_0184,AT-RISK,Email Reminder,8519,2172,6347,Partially Recovered,Not Sent,-4
CUSTOMER_0185,AT-RISK,Email Reminder,17886,0,17886,Pending,Not Sent,-4
CUSTOMER_0186,LOW,No Intervention,2387,2387,0,Recovered,Not Sent,-7
CUSTOMER_0187,LOW,No Intervention,8842,8842,0,Recovered,Not Sent,-3
CUSTOMER_0188,LOW,No Intervention,5475,5475,0,Recovered,Not Sent,-6
CUSTOMER_0189,AT-RISK,Email Reminder,5634,5634,0,Recovered,Not Sent,-8
CUSTOMER_0190,HIGH,Phone Call,18192,0,18192,Pending,Not Sent,-9
CUSTOMER_0191,LOW,No Intervention,4935,4935,0,Recovered,Not Sent,-8
CUSTOMER_0192,LOW,No Intervention,6595,6595,0,Recovered,Not Sent,-1
CUSTOMER_0193,LOW,No Intervention,22557,22557,0,Recovered,Not Sent,-8
CUSTOMER_0194,CRITICAL,Manual Follow-up,6191,6191,0,Recovered,Not Sent,-3
CUSTOMER_0195,LOW,No Intervention,4861,4861,0,Recovered,Not Sent,-1
CUSTOMER_0196,LOW,No Intervention,6469,6469,0,Recovered,Not Sent,-9
CUSTOMER_0197,AT-RISK,Email Reminder,29533,0,29533,Pending,Not Sent,-2
CUSTOMER_0198,LOW,No Intervention,6776,6776,0,Recovered,Not Sent,-6
CUSTOMER_0199,AT-RISK,Email Reminder,8384,8384,0,Recovered,Not Sent,-4
CUSTOMER_0200,LOW,No Intervention,30273,30273,0,Recovered,Not Sent,-6
CUSTOMER_0201,HIGH,Phone Call,7209,7209,0,Recovered,Not Sent,-7
CUSTOMER_0202,AT-RISK,Email Reminder,7391,7391,0,Recovered,Not Sent,-7
CUSTOMER_0203,LOW,No Intervention,940,940,0,Recovered,Not Sent,-6
CUSTOMER_0204,LOW,No Intervention,6594,6594,0,Recovered,Not Sent,-3
CUSTOMER_0205,LOW,No Intervention,5558,5558,0,Recovered,Not Sent,-1
CUSTOMER_0206,AT-RISK,Email Reminder,4144,4144,0,Recovered,Not Sent,-3
CUSTOMER_0207,LOW,No Intervention,3258,3258,0,Recovered,Not Sent,-2
CUSTOMER_0208,HIGH,Phone Call,5844,0,5844,Not Recovered,Not Sent,-4
CUSTOMER_0209,LOW,No Intervention,2124,2124,0,Recovered,Not Sent,-8
CUSTOMER_0210,LOW,No Intervention,5344,2356,2988,Partially Recovered,Not Sent,-6
CUSTOMER_0211,HIGH,Phone Call,42252,17404,24848,Partially Recovered,Not Sent,-5
CUSTOMER_0212,AT-RISK,Email Reminder,3866,3866,0,Recovered,Not Sent,-7
CUSTOMER_0213,LOW,No Intervention,5744,5744,0,Recovered,Not Sent,-5
CUSTOMER_0214,AT-RISK,Email Reminder,7639,7639,0,Recovered,Not Sent,-10
CUSTOMER_0215,HIGH,Phone Call,1278,1278,0,Recovered,Not Sent,-2
CUSTOMER_0216,LOW,No Intervention,13423,13423,0,Recovered,Not Sent,-5
CUSTOMER_0217,LOW,No Intervention,6388,1554,4834,Partially Recovered,Not Sent,-6
CUSTOMER_0218,LOW,No Intervention,2494,2494,0,Recovered,Not Sent,-10
CUSTOMER_0219,LOW,No Intervention,19452,19452,0,Recovered,Not Sent,-9
CUSTOMER_0220,AT-RISK,Email Reminder,3852,3852,0,Recovered,Not Sent,-4
CUSTOMER_0221,LOW,No Intervention,5951,5951,0,Recovered,Not Sent,-4
CUSTOMER_0222,HIGH,Phone Call,18024,11648,6376,Partially Recovered,Not Sent,-2
CUSTOMER_0223,CRITICAL,Manual Follow-up,12623,12623,0,Recovered,Not Sent,-3
CUSTOMER_0224,AT-RISK,Email Reminder,7935,7935,0,Recovered,Not Sent,-7
CUSTOMER_0225,CRITICAL,Manual Follow-up,8932,0,8932,Not Recovered,Not Sent,-1
CUSTOMER_0226,HIGH,Phone Call,5073,5073,0,Recovered,Not Sent,-5
CUSTOMER_0227,AT-RISK,Email Reminder,1139,1139,0,Recovered,Not Sent,-9
CUSTOMER_0228,LOW,No Intervention,3522,2344,1178,Partially Recovered,Not Sent,-8
CUSTOMER_0229,LOW,No Intervention,4511,4511,0,Recovered,Not Sent,-3
CUSTOMER_0230,HIGH,Phone Call,4449,1696,2753,Partially Recovered,Not Sent,-4
CUSTOMER_0231,LOW,No Intervention,8479,8479,0,Recovered,Not Sent,-5
CUSTOMER_0232,HIGH,Phone Call,10419,0,10419,Not Recovered,Not Sent,-7
CUSTOMER_0233,AT-RISK,Email Reminder,6628,2054,4574,Partially Recovered,Not Sent,-10
CUSTOMER_0234,LOW,No Intervention,10961,10961,0,Recovered,Not Sent,-3
CUSTOMER_0235,LOW,No Intervention,20339,20339,0,Recovered,Not Sent,-6
CUSTOMER_0236,LOW,No Intervention,14890,14890,0,Recovered,Not Sent,-8
CUSTOMER_0237,LOW,No Intervention,6574,6574,0,Recovered,Not Sent,-4
CUSTOMER_0238,AT-RISK,Email Reminder,3517,3517,0,Recovered,Not Sent,-4
CUSTOMER_0239,LOW,No Intervention,4479,4479,0,Recovered,Not Sent,-3
CUSTOMER_0240,LOW,No Intervention,16654,16654,0,Recovered,Not Sent,-2
CUSTOMER_0241,AT-RISK,Email Reminder,5856,5856,0,Recovered,Not Sent,-3
CUSTOMER_0242,LOW,No Intervention,5888,5888,0,Recovered,Not Sent,-7
CUSTOMER_0243,AT-RISK,Email Reminder,15990,15990,0,Recovered,Not Sent,-10
CUSTOMER_0244,AT-RISK,Email Reminder,5218,5218,0,Recovered,Not Sent,-10
CUSTOMER_0245,LOW,No Intervention,9625,9625,0,Recovered,Not Sent,-3
CUSTOMER_0246,LOW,No Intervention,4782,4782,0,Recovered,Not Sent,-5
CUSTOMER_0247,AT-RISK,Email Reminder,30158,13868,16290,Partially Recovered,Not Sent,-5
CUSTOMER_0248,CRITICAL,Manual Follow-up,21063,21063,0,Recovered,Not Sent,-6
CUSTOMER_0249,LOW,No Intervention,8432,8432,0,Recovered,Not Sent,-2
CUSTOMER_0250,HIGH,Phone Call,2375,2375,0,Recovered,Not Sent,-10
CUSTOMER_0251,LOW,No Intervention,8292,8292,0,Recovered,Not Sent,-7
CUSTOMER_0252,AT-RISK,Email Reminder,7365,7365,0,Recovered,Not Sent,-9
CUSTOMER_0253,LOW,No Intervention,6524,6524,0,Recovered,Not Sent,-3
CUSTOMER_0254,LOW,No Intervention,4623,4623,0,Recovered,Not Sent,-7
CUSTOMER_0255,HIGH,Phone Call,3885,0,3885,Pending,Not Sent,-6
CUSTOMER_0256,HIGH,Phone Call,6436,0,6436,Not Recovered,Not Sent,-3
CUSTOMER_0257,LOW,No Intervention,1906,1906,0,Recovered,Not Sent,-3
CUSTOMER_0258,LOW,No Intervention,3631,3631,0,Recovered,Not Sent,-1
CUSTOMER_0259,LOW,No Intervention,8053,8053,0,Recovered,Not Sent,-8
CUSTOMER_0260,LOW,No Intervention,7387,7387,0,Recovered,Not Sent,-6
CUSTOMER_0261,LOW,No Intervention,21463,21463,0,Recovered,Not Sent,-5
CUSTOMER_0262,CRITICAL,Manual Follow-up,38072,0,38072,Pending,Not Sent,-7
CUSTOMER_0263,CRITICAL,Manual Follow-up,19993,6719,13274,Partially Recovered,Not Sent,-2
CUSTOMER_0264,LOW,No Intervention,4089,4089,0,Recovered,Not Sent,-8
CUSTOMER_0265,HIGH,Phone Call,2629,1604,1025,Partially Recovered,Not Sent,-5
CUSTOMER_0266,LOW,No Intervention,1146,1146,0,Recovered,Not Sent,-1
CUSTOMER_0267,LOW,No Intervention,8923,8923,0,Recovered,Not Sent,-9
CUSTOMER_0268,CRITICAL,Manual Follow-up,8747,4505,4242,Partially Recovered,Not Sent,-6
CUSTOMER_0269,LOW,No Intervention,2114,2114,0,Recovered,Not Sent,-8
CUSTOMER_0270,LOW,No Intervention,6053,6053,0,Recovered,Not Sent,-4
CUSTOMER_0271,AT-RISK,Email Reminder,14537,14537,0,Recovered,Not Sent,-9
CUSTOMER_0272,LOW,No Intervention,3440,3440,0,Recovered,Not Sent,-9
CUSTOMER_0273,AT-RISK,Email Reminder,2329,2329,0,Recovered,Not Sent,-4
CUSTOMER_0274,LOW,No Intervention,40169,40169,0,Recovered,Not Sent,-4
CUSTOMER_0275,LOW,No Intervention,23775,23775,0,Recovered,Not Sent,-4
CUSTOMER_0276,CRITICAL,Manual Follow-up,34095,34095,0,Recovered,Not Sent,-5
CUSTOMER_0277,AT-RISK,Email Reminder,7103,3689,3414,Partially Recovered,Not Sent,-8
CUSTOMER_0278,AT-RISK,Email Reminder,18791,7726,11065,Partially Recovered,Not Sent,-3
CUSTOMER_0279,LOW,No Intervention,3578,3578,0,Recovered,Not Sent,-2
CUSTOMER_0280,LOW,No Intervention,12854,12854,0,Recovered,Not Sent,-10
CUSTOMER_0281,LOW,No Intervention,925,925,0,Recovered,Not Sent,-3
CUSTOMER_0282,LOW,No Intervention,3909,3909,0,Recovered,Not Sent,-7
CUSTOMER_0283,LOW,No Intervention,6161,6161,0,Recovered,Not Sent,-8
CUSTOMER_0284,LOW,No Intervention,3477,3477,0,Recovered,Not Sent,-1
CUSTOMER_0285,LOW,No Intervention,22098,22098,0,Recovered,Not Sent,-5
CUSTOMER_0286,LOW,No Intervention,5116,5116,0,Recovered,Not Sent,-8
CUSTOMER_0287,LOW,No Intervention,18198,18198,0,Recovered,Not Sent,-7
CUSTOMER_0288,LOW,No Intervention,7041,7041,0,Recovered,Not Sent,-5
CUSTOMER_0289,LOW,No Intervention,9882,9882,0,Recovered,Not Sent,-1
CUSTOMER_0290,LOW,No Intervention,6381,6381,0,Recovered,Not Sent,-10
CUSTOMER_0291,LOW,No Intervention,22351,22351,0,Recovered,Not Sent,-5
CUSTOMER_0292,LOW,No Intervention,16395,16395,0,Recovered,Not Sent,-7
CUSTOMER_0293,AT-RISK,Email Reminder,6346,2527,3819,Partially Recovered,Not Sent,-9
CUSTOMER_0294,LOW,No Intervention,8380,8380,0,Recovered,Not Sent,-8
CUSTOMER_0295,LOW,No Intervention,7729,7729,0,Recovered,Not Sent,-1
CUSTOMER_0296,AT-RISK,Email Reminder,1877,1877,0,Recovered,Not Sent,-6
CUSTOMER_0297,AT-RISK,Email Reminder,47630,47630,0,Recovered,Not Sent,-6
CUSTOMER_0298,LOW,No Intervention,6458,6458,0,Recovered,Not Sent,-5
CUSTOMER_0299,AT-RISK,Email Reminder,32402,0,32402,Not Recovered,Not Sent,-9
CUSTOMER_0300,LOW,No Intervention,4427,4427,0,Recovered,Not Sent,-3
CUSTOMER_0301,LOW,No Intervention,3054,3054,0,Recovered,Not Sent,-5
CUSTOMER_0302,LOW,No Intervention,17831,17831,0,Recovered,Not Sent,-6
CUSTOMER_0303,LOW,No Intervention,7374,7374,0,Recovered,Not Sent,-1
CUSTOMER_0304,LOW,No Intervention,2105,2105,0,Recovered,Not Sent,-8
CUSTOMER_0305,HIGH,Phone Call,5104,5104,0,Recovered,Not Sent,-10
CUSTOMER_0306,AT-RISK,Email Reminder,6079,6079,0,Recovered,Not Sent,-3
CUSTOMER_0307,LOW,No Intervention,10393,10393,0,Recovered,Not Sent,-1
CUSTOMER_0308,LOW,No Intervention,2220,2220,0,Recovered,Not Sent,-6
CUSTOMER_0309,AT-RISK,Email Reminder,1842,1842,0,Recovered,Not Sent,-9
CUSTOMER_0310,LOW,No Intervention,5846,5846,0,Recovered,Not Sent,-1
